ImageID,Image,Description,Keywords
196,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_276.jpg,a painting of a woman in a colorful dress,"colorful dress, woman, painting"
197,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_277.jpg,a painting of hanuman holding a red flower,"red flower, hanuman holding, painting"
198,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_278.jpg,a painting of two horses pulling a carriage of arjun,"two horses pulling, painting, carriage, arjun"
199,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_279.jpg,a painting of a city by the water,"water, painting, city"
200,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_28.jpg,a painting of women playing on a swing or puppet show,"women playing, swing, painting, puppetshow"
201,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_280.jpg,a painting of a blue castle by the water,"water, painting, blue castle"
202,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_281.jpg,three umbrellas in the rain by the water,"three umbrellas, water, rain"
203,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_282.jpg,a painting of a city with a horse and carriage,"painting, horse, city, carriage"
204,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_283.jpg,a painting of a woman sitting at a table in the street,"woman sitting, table, street, painting"
205,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_284.jpg,a close up of a plaque with a face,"plaque, face, close"
206,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_285.jpg,a painting of a bull,"painting, bull"
207,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_286.jpg,a painting of a bull with yelow background,"painting, bull, yellow, background"
208,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_287.jpg,a group of colorful baskets with butterflies on them,"colorful baskets, group, butterflies"
209,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_288.jpg,a painting of a buddha holding a globe,"buddha holding, painting, globe"
210,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_289.jpg,a painting of a jesus with her arms outstretched,"arms outstretched, jesus, painting"
211,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_29.jpg,a painting of a bull near shiva represenation,"painting, bull, shiva, representation"
212,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_290.jpg,a painting of a spiral design,"spiral design, painting"
213,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_291.jpg,a painting of a circle with a yellow and blue background,"blue background, yellow, painting, circle"
214,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_292.jpg,a circular artwork made with yarn,"circular artwork made, yarn"
215,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_293.jpg,a painting of a circular design with many circles,"many circles, circular design, painting"
216,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_294.jpg,a painting with a circular pattern in the middle,"circular pattern, painting, middle"
217,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_295.jpg,a painting of a yellow and black circle,"black circle, yellow, painting"
218,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_296.jpg,a painting of a woman holding a birds,"woman holding, painting, birds"
219,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_297.jpg,a painting of a bird and a bird on a tree,"tree, painting, bird, bird"
220,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_298.jpg,a painting of two women dancing in a field,"two women dancing, painting, field"
221,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_299.jpg,a painting of a woman looking through a hole in a brick wall,"woman looking, brick wall, painting, hole"
222,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_3.jpg,a drawing of a man with a green hat and glasses,"green hat, man, glasses, drawing"
223,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_30.jpg,a painting of a woman and krishna in puzzle,"woman, painting, bench, krishna, puzzle"
224,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_300.jpg,a painting of pink roses,"pink roses, painting"
225,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_301.jpg,a painting of a dots on green and pink,"pink, green, dots, woman, painting"
226,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_302.jpg,a painting of a purple and blue background,"blue background, purple, painting"
227,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_303.jpg,a painting of a cityscape with lots of colorful dots,"colorful dots, painting, lots, cityscape"
228,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_304.jpg,watercolor painting of a white flower,"white flower, watercolor painting"
229,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_305.jpg,a painting of white flowers,"white flowers, painting"
230,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_306.jpg,water lilies by linda grist,"water lilies, linda grist"
231,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_307.jpg,water lilies by artist susan schr,"artist susan schr, water lilies"
232,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_308.jpg,watercolor painting of pink roses,"watercolor painting, pink roses"
233,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_309.jpg,watercolor painting of pink lotus flowers,"pink lotus flowers, watercolor painting"
234,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_31.jpg,lord krishna playing snake and ladder game with snake,"lord, krishna, snake and ladder, game,  snake"
235,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_310.jpg,watercolor painting of pink lotus flowers,"pink lotus flowers, watercolor painting"
236,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_311.jpg,a painting of pink roses,"pink roses, painting"
237,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_312.jpg,watercolor painting of pink flowers,"watercolor painting, pink flowers"
238,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_313.jpg,a painting of yellow flowers in a vase,"vase, painting, flowers, yellow"
239,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_314.jpg,a painting of a church in the middle of a field,"painting, middle, field, church"
240,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_315.jpg,a painting of a purple cityscape,"painting, cityscape, purple"
241,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_316.jpg,a painting of a cityscape,"painting, cityscape"
242,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_317.jpg,a painting of a boat in the water in orange background,"water, painting, boat, orange background"
243,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_318.jpg,a painting of a yellow and blue abstract,"blue abstract, yellow, painting"
244,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_319.jpg,a painting of a mountain with a brown sky,"brown sky, painting, mountain"
245,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_32.jpg,a red flower on a yellow backgroundin symmetry,"yellow background, red flower, symmetry"
246,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_320.jpg,a painting of a green and yellow landscape,"yellow landscape, painting, green"
247,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_321.jpg,a painting of a man with a beard,"painting, man, beard"
248,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_322.jpg,a painting of a city with red and blue colors,"blue colors, red, painting, city"
249,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_323.jpg,a painting of green paint on a black background,"green paint, black background, painting"
250,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_324.jpg,a painting of a crown on a red background,"red background, painting, crown"
251,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_325.jpg,a painting of a black and orange abstract painting,"orange abstract painting, painting, black"
252,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_326.jpg,a painting of a green and yellow abstract painting,"yellow abstract painting, painting, green"
253,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_327.jpg,a painting of a tree with many branches,"many branches, tree, painting"
254,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_328.jpg,a painting of a red and orange sky,"orange sky, red, painting"
255,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_329.jpg,a painting of a woman holding a horse,"woman holding, painting, horse"
256,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_33.jpg,a painting of a man in a tie and a group of girl students,"tie, painting, man, group, girl, students"
257,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_330.jpg,a painting of a purple flower with green leaves,"purple flower, green leaves, painting"
258,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_331.jpg,two fish in a field with a flower,"two fish, flower, field"
259,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_332.jpg,a painting of two trees holding a heart,"two trees holding, painting, heart"
260,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_333.jpg,a painting of a woman with a leaf on her back,"woman, painting, leaf, back"
261,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_334.jpg,a painting of a river with trees and grass,"trees, river, painting, grass"
262,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_335.jpg,a painting of trees with the sun shining through them,"sun shining, trees, painting"
263,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_336.jpg,a large tree with dense togetherin a forest,"dense, together, forest, large tree, middle"
264,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_337.jpg,a painting of a tree with a brown and green background,"green background, tree, painting, brown"
265,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_338.jpg,a painting of a tree in a field,"tree, painting, field"
266,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_339.jpg,a painting of trees in the woods,"woods, trees, painting"
267,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_34.jpg,a painting of a tiger,"tiger, painting"
268,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_340.jpg,a painting of a tree with many leaves,"many leaves, tree, painting"
269,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_341.jpg,a painting of a tree with many branches,"many branches, tree, painting"
270,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_342.jpg,a painting of a tree with a blue umbrella,"blue umbrella, tree, painting"
271,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_343.jpg,a painting of a river with trees and grass,"trees, river, painting, grass"
272,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_344.jpg,a painting of a sunset with clouds and mountains in the background,"sunset, painting, mountains, clouds, background"
273,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_345.jpg,a painting of a sunset over a lake,"sunset, painting, lake"
274,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_346.jpg,a painting of a sunset over a field,"sunset, painting, field"
275,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_347.jpg,a painting of a river in the middle of a field,"river, painting, middle, field"
276,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_348.jpg,a painting of a river in the mountains,"river, painting, mountains"
277,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_349.jpg,a painting of a tree with a sun in the middle,"tree, sun, painting, middle"
278,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_35.jpg,a painting of a large body of water,"large body, water, painting"
279,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_350.jpg,a painting of a landscape with trees and mountains,"trees, painting, mountains, landscape"
280,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_351.jpg,a painting of a tree by the water,"water, tree, painting"
281,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_352.jpg,a painting of a tree and a lake,"tree, painting, lake"
282,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_353.jpg,a painting of a river in the woods,"woods, river, painting"
283,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_354.jpg,a painting of a river in the middle of a field,"river, painting, middle, field"
284,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_355.jpg,a painting of a tree in a field,"tree, painting, field"
285,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_356.jpg,a painting of a river in the middle of a forest,"river, painting, middle, forest"
286,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_357.jpg,a painting of a river in the woods,"woods, river, painting"
287,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_358.jpg,a rooster is standing on a citysca,"standing, rooster, citysca"
288,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_359.jpg,a horse with a ball on its back,"horse, ball, back"
289,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_36.jpg,a painting of a boat in the blue ocean,"painting, ocean, boat, blue"
290,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_360.jpg,a painting of a tree with leaves blowing in the wind,"leaves blowing, wind, tree, painting"
291,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_361.jpg,a painting of a woman in a garden,"woman, painting, garden"
292,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_362.jpg,a painting of red and green paint on a red background,"green paint, red background, red, painting"
293,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_363.jpg,a painting of a red and yellow geometric pattern,"yellow geometric pattern, red, painting"
294,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_364.jpg,a painting of three people standing on a yellow background,"three people standing, yellow background, painting"
295,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_365.jpg,a painting of a red and yellow abstract design,"yellow abstract design, red, painting"
296,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_366.jpg,a painting of a green and yellow abstract background,"yellow abstract background, painting, green"
297,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_367.jpg,a painting of a geometric pattern,"geometric pattern, painting"
298,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_368.jpg,a painting of a red and yellow geometric design,"yellow geometric design, red, painting"
299,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_369.jpg,a painting of a yellow and brown landscape,"brown landscape, yellow, painting"
300,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_37.jpg,a painting of a sunset,"sunset, painting"
301,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_370.jpg,a painting of mountains and clouds,"painting, mountains, clouds"
302,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_371.jpg,a painting of a green and yellow landscape,"yellow landscape, painting, green"
303,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_372.jpg,abstract painting - abstract fine fine art by marcia grist,"abstract fine fine art, abstract painting, marcia grist"
304,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_373.jpg,a painting of a yellow patterns on a black background,"yellow patterns, black background, painting"
305,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_374.jpg,a painting of green and blue shapes,"blue shapes, painting, green"
306,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_375.jpg,a painting of a green and blue abstract painting,"blue abstract painting, painting, green"
307,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_376.jpg,a painting of a blue and yellow and red abstract painting,"yellow abstract painting, painting, blue, red"
308,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_377.jpg,a painting of green and red rectangle abstract,"gree,. Red, abstract, rectangles"
309,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_378.jpg,a painting of a green and black abstract painting,"black abstract painting, painting, green"
310,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_379.jpg,a painting of yellow and black shapes,"black shapes, yellow, painting"
311,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_38.jpg,a painting of a boat in the ocean,"painting, ocean, boat"
312,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_380.jpg,a painting of a blue and brown abstract,"brown abstract, painting, blue"
313,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_381.jpg,a painting of bright yellow light and blue shapes,"bright yellow light, shapes, painting, blue"
314,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_382.jpg,"a painting of a forest with red, blue and green leaves","green leaves, red, painting, forest, blue"
315,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_383.jpg,a painting of bamboo trees in green tones,"green tones, bamboo trees, painting"
316,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_384.jpg,a painting of a group of people,"people, painting, group"
317,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_385.jpg,a painting of blue and yellow shapes,"yellow shapes, painting, blue"
318,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_386.jpg,a painting of a forest with trees and a red and green background,"green background, trees, red, painting, forest"
319,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_387.jpg,abstract painting - abstract fine fine art,"abstract fine fine art, abstract painting"
320,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_388.jpg,a painting of trees in the woods,"woods, trees, painting"
321,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_389.jpg,a drawing of a woman with a red heart,"red heart, woman, drawing"
322,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_39.jpg,a painting of a large brown field,"large brown field, painting"
323,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_390.jpg,a painting of a waterfall in the middle of a lake,"waterfall, painting, middle, lake"
324,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_391.jpg,a painting of a river in the mountains,"river, painting, mountains"
325,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_392.jpg,a painting of a tree with a fruits on it,"fruits, tree, painting"
326,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_393.jpg,a painting of trees and water in the woods,"woods, water, trees, painting"
327,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_394.jpg,a painting of a river in the mountains,"river, painting, mountains"
328,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_395.jpg,a painting of trees with blue and orange leaves,"orange leaves, trees, painting, blue"
329,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_396.jpg,a painting of a yellow leaf on a black background,"yellow leaf, black background, painting"
330,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_397.jpg,a painting of trees and water in a forest,"water, trees, painting, forest"
331,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_398.jpg,a painting of red flowers on a lake,"red flowers, painting, lake"
332,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_399.jpg,a painting of trees with brown and white colors,"white colors, trees, painting, brown"
333,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_4.jpg,a drawing of a bird in a cage,"drawing, cage, bird"
334,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_40.jpg,a painting of a city with lots of buildings in pink,"painting, lots, city, buildings, pink"
335,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_400.jpg,a painting of a giraffe skin in brown,"giraffe, skin, brown, painting"
336,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_401.jpg,a painting of a tree with red flowers,"red flowers, tree, painting"
337,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_402.jpg,"a painting of a tree with many roots, flowers and blue sky","many roots, tree, painting, blue sky, flowers"
338,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_403.jpg,a painting of a white flower with green leaves,"green leaves, painting, flower, white"
339,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_404.jpg,a painting of a tree with red flowers in the forest,"red flowers, tree, painting, forest"
340,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_405.jpg,a painting of a tree in a field,"tree, painting, field"
341,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_406.jpg,a painting of a field with trees and clouds,"trees, painting, field, clouds"
342,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_407.jpg,a painting of a river with trees and mountains in the background,"trees, river, painting, mountains, background"
343,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_408.jpg,a painting of a lantern on a table,"table, painting, lantern"
344,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_409.jpg,a painting of two vases on a table,"two vases, table, painting"
345,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_41.jpg,a painting of a lake,"painting, lake"
346,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_410.jpg,a painting of a yellow flower in a blue vase,"yellow flower, blue vase, painting"
347,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_411.jpg,a painting of a vase and a white cloth,"white cloth, vase, painting"
348,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_412.jpg,a painting of a lamp and books on a table,"table, painting, lamp, books"
349,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_413.jpg,a painting of a lamp above blue ball and shapes,"lamp, blue ball, shapes"
350,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_414.jpg,a painting of a lamp with coloured background,"painting, lamp, coloured background"
351,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_415.jpg,a painting of a vase on a table,"vase, table, painting"
352,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_416.jpg,a painting of a lamp on a wall,"wall, painting, lamp"
353,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_417.jpg,a painting of a blue vase and apples,"blue vase, painting, apples"
354,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_418.jpg,pomogranate with blue background,"pomogranate, blue, background"
355,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_419.jpg,a painting of red shapes in green background,"red shapes, painting, green background"
356,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_42.jpg,a painting of a turtle swimming in the blue ocean,"turtle swimming, painting, ocean,  blue"
357,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_420.jpg,a painting of a candle with a candle on top,"top, painting, candle, candle"
358,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_421.jpg,a painting of a circular design with flowers and leaves,"circular design, painting, leaves, flowers"
359,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_422.jpg,a painting of a river at sunset,"sunset, river, painting"
360,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_423.jpg,a painting of a river at sunset,"sunset, river, painting"
361,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_424.jpg,a painting of a lotus flower with two leaves,"two leaves, lotus flower, painting"
362,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_425.jpg,a painting of a purple flower on a blue background,"purple flower, blue background, painting"
363,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_426.jpg,a painting of a woman holding a basket of red roses,"woman holding, red roses, painting, basket"
364,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_427.jpg,a drawing of a woman holding a red heart,"woman holding, red heart, drawing"
365,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_428.jpg,a painting of a woman with a red circle around her,"red circle around, woman, painting"
366,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_429.jpg,a painting of trees in the woods,"woods, trees, painting"
367,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_43.jpg,a painting of a castle on a hill,"painting, hill, castle"
368,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_430.jpg,a painting of a woman with a head of flowers,"woman, painting, head, flowers"
369,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_431.jpg,a painting of a street scene in india,"street scene, painting, india"
370,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_432.jpg,watercolor painting of venice,"watercolor painting, venice"
371,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_433.jpg,a painting of a city with boats and people,"people, painting, city, boats"
372,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_434.jpg,a painting of a pink flower surrounded by green leaves,"pink flower surrounded, green leaves, painting"
373,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_435.jpg,a painting of a butterfly with a flower in the middle,"painting, middle, flower, butterfly"
374,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_436.jpg,a painting of a man in a green shirt,"green shirt, painting, man"
375,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_437.jpg,a painting of two faces on a yellow background,"yellow background, two faces, painting"
376,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_438.jpg,a painting with a yellow background and a red and green painting,"yellow background, green painting, painting, red"
377,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_439.jpg,a yellow and black painting with a black and white design,"white design, black painting, black, yellow"
378,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_44.jpg,a painting of a city with a church,"painting, city, church"
379,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_440.jpg,a painting of a green and yellow square with a black dot,"yellow square, black dot, painting, green"
380,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_441.jpg,a painting with a yellow background and a red and green painting,"yellow background, green painting, painting, red"
381,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_442.jpg,a painting with a yellow background and a green and orange design,"yellow background, orange design, painting, green"
382,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_443.jpg,a painting with a yellow background and a green and red painting,"yellow background, red painting, painting, green"
383,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_444.jpg,a painting with a green and orange face,"orange face, painting, green"
384,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_445.jpg,a painting on a yellow paper with a black and white circle,"yellow paper, white circle, painting, black"
385,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_446.jpg,a painting with a red and yellow background,"yellow background, red, painting"
386,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_447.jpg,a painting of a yellow background with a blue and green background,"yellow background, green background, painting, blue"
387,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_448.jpg,a painting with a yellow background and a red and yellow background,"yellow background, yellow background, red, painting"
388,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_449.jpg,a painting with a banana and a piece of fruit,"piece, painting, fruit, banana"
389,/content/drive/MyDrive/zigguratss-artwork-dataset/artwork-dataset/image_45.jpg,a painting of a river with green grass and trees,"green grass, trees, river, painting"
